鄉鎮市區,交易標的,建物型態,主要用途,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,車位類別,電梯,公設比,屋齡,豪宅,面積大小,移轉層次_數字,總樓層數_數字,移轉層次_級距
內湖區,房地(土地+建物),華廈(10層含以下有電梯),住家用,48.33,1,1,1,1,15200000,314504,無車位,1,0.3708,1.542465753,0,小,3,5,一到五層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,50.22,0,0,0,1,8600000,171247,無車位,1,0.2194,40.39178082,0,小,7,12,六到十層
萬華區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,236.61,4,2,2,0,46600000,216222,坡道平面,1,0.4295,0.635616438,0,大,9,15,六到十層
內湖區,房地(土地+建物)+車位,華廈(10層含以下有電梯),工業用,352.5,0,0,0,1,40000000,113475,坡道平面,1,0.5336,24.90136986,0,大,7,7,六到十層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,39.75,1,1,1,1,5960000,149937,無車位,1,0.2322,47.92876712,0,小,4,11,一到五層
信義區,房地(土地+建物),住宅大樓(11層含以上有電梯),辦公用,73.87,1,1,2,1,24000000,324895,無車位,1,0.3602,18.85205479,0,中,9,11,六到十層
南港區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,222.21,3,2,2,1,54160000,243733,坡道平面,1,0.4557,14.38082192,0,大,12,15,十一到十五層
北投區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,49.77,1,1,1,1,9000000,180832,無車位,1,0.2526,24.14794521,0,小,3,13,一到五層
內湖區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,106.08,3,2,2,0,19000000,179110,無車位,0,0,42.77808219,0,中,3,5,一到五層
士林區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,26.91,0,0,0,1,7100000,263842,無車位,1,0.3203,27.92054795,0,小,5,11,一到五層
內湖區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,83.22,1,2,1,1,20880000,250901,無車位,1,0.3256,15.66575342,0,中,11,14,十一到十五層
松山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,211.53,4,2,2,1,58600000,277029,坡道平面,1,0.3949,15.38356164,0,大,9,11,六到十層
內湖區,房地(土地+建物),華廈(10層含以下有電梯),住家用,46.59,2,1,1,1,11300000,242541,無車位,1,0.1487,28.00821918,0,小,4,7,一到五層
中正區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,32.58,0,1,0,1,7600000,233272,無車位,1,0.085,49.04383562,0,小,7,11,六到十層
